模块,section,endpoint_id,endpoint_label,状态,端点类型,catalog字段数,已命中字段数,facts数,已命中字段,未命中字段,关键词,证据文件
首页实时概览,homepage,homepage_realtime,首页实时概览,已命中,observed,41,13,43,"avg_price, comment_score_summary, date, hotel_id, hotel_name, loss_order_count, order_amount, order_count, rank, room_nights, target_url, tensity, visitor_count","bad_review_tag, base_score, competitor_average, competitor_avg_visitor, conversion_rate, ctrip_rating, deduct_score, detail_visitor, flow_rate, hotel_collect, hotel_collect_rank, im_score, keyword, list_exposure, occupancy_rate, order_page_visitor, order_submit_user, page_views, psi_score, qunar_competitor_avg_visitor, qunar_visitor_rank, reply_rank, reply_rate, reward_score, service_score, service_score_rank, source_name, visitor_rank",queryHomePageRealTimeData,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json
经营报告-概要,business_overview,platform_resource_popups,经营报告-概要,已命中,supporting,8,1,6,config_value,"config_name, date, hotel_id, hotel_name, notice_text, notice_title, target_url",getEbkResourcePopups,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,platform_notifications,经营报告-概要,已命中,supporting,8,3,52,"config_value, notice_title, target_url","config_name, date, hotel_id, hotel_name, notice_text","getMultiNotifyMessage, queryEPush",ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,hotel_advice,经营报告-概要,已命中,observed,7,4,22,"advice_text, diagnosis_level, diagnosis_score, hotel_id","advice_count, date, hotel_name",getHotelAdvice,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,business_realtime,经营报告-概要,已命中,observed,25,3,6,"hotel_id, order_count, visitor_count","avg_price, competitor_average, competitor_avg_visitor, conversion_rate, date, detail_visitor, flow_rate, hotel_name, keyword, list_exposure, occupancy_rate, order_amount, order_page_visitor, order_submit_user, page_views, qunar_competitor_avg_visitor, qunar_visitor_rank, rank, room_nights, source_name, tensity, visitor_rank",getDayReportRealTimeDate,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,business_capacity,经营报告-概要,已命中,observed,12,5,7,"competitor_average, occupancy_rate, order_count, rank, room_nights","avg_price, conversion_rate, date, hotel_id, hotel_name, order_amount, tensity",fetchCapacityOverViewV4,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,business_market_overview,经营报告-概要,已命中,observed,12,7,13,"avg_price, conversion_rate, occupancy_rate, order_amount, order_count, rank, room_nights","competitor_average, date, hotel_id, hotel_name, tensity",fetchMarketOverViewV2,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,business_flow_compete,经营报告-概要,已命中,observed,29,6,7,"competitor_orders, competitor_revenue, competitor_visitor, hotel_id, order_amount, order_count","avg_price, competitor_average, competitor_avg_visitor, competitor_number, conversion_rate, date, detail_visitor, flow_rate, hotel_name, keyword, list_exposure, occupancy_rate, order_page_visitor, order_submit_user, page_views, qunar_competitor_avg_visitor, qunar_visitor_rank, rank, room_nights, source_name, tensity, visitor_count, visitor_rank",getDayReportFlowCompete,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,business_visitor_title,经营报告-概要,已命中,observed,16,4,5,"competitor_avg_visitor, qunar_competitor_avg_visitor, visitor_count, visitor_rank","date, detail_visitor, flow_rate, hotel_id, hotel_name, keyword, list_exposure, order_page_visitor, order_submit_user, page_views, qunar_visitor_rank, source_name",fetchVisitorTitleV2,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
经营报告-概要,business_overview,business_hotel_seq,经营报告-概要,已命中,observed,4,1,4,seq_rank,"date, hotel_id, hotel_name",fetchCurrentHotelSeqInfoV1,ctrip_section_trial_tiancheng_58_business_overview_20260602124700.json
