用户选择,建表决定,目标表,canonical_key,字段名,类别,模块,sections,采集状态,source_keys,样本值,说明
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,advice_count,经营提醒数量,收益销售,经营报告-概要,business_overview,未采到-本轮未触发,"goodhotelAdviceEntityList, badhotelAdviceEntityList",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,bad_review_tag,差评标签,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,"dingPingEntityList, tag",房间很干净 / 0 / 0,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,base_score,基础分,收益销售 / 流量转化 / 竞争圈 / 服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 未采到-模块超时 / 已采到-门禁通过,"baseScore, basicScore",4.59 / 4.71 / 4.72 / 4.72 / 4.71 / 4.72,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,booking_days,提前预订天数,用户行为,经营报告-概要 / 用户行为-用户画像,"business_overview, user_profile",未采到-本轮未触发 / 已采到-门禁通过,"bookingDays, advanceDays, leadTime, bookingdays",当天预定 / 当天预定 / 当天预定 / 当天预定 / 当天预定 / 当天预定,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,common_view_rate,共同浏览率,竞争圈,竞争圈-流失分析,loss_analysis,未采到-模块超时,"commonViewRate, browseRate",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,competitor_number,竞争圈酒店数,竞争圈,经营报告-概要,business_overview,未采到-本轮未触发,competitorNumber,,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,config_name,配置名称,收益销售 / 广告推广,经营报告-概要 / 金字塔广告,"business_overview, ads_pyramid",未采到-本轮未触发 / 已采到-需复核(门禁未过),"configName, configKey, key, code",CPC_NEW_DIAGNOSIS_PAGE / 0 / 0 / 0 / 0 / CPC_NEW_DIAGNOSIS_PAGE,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,ctrip_rating,携程评分,广告推广,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,ctripRatingall,4.83 / 4.8 / 4.8,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,deduct_score,减分项,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,"deductScore, penaltyScore",0 / 0 / 0 / 0 / 0 / 0,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,diagnosis_text,诊断建议,广告推广,金字塔广告,ads_pyramid,未采到-未验证,"diagnosis, suggestion, interpretation, tasktext",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,end_date,结束日期,收益销售,热点日历,market_calendar,未采到-接口命中但无字段,endDate,,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,follow_status,关注状态,竞争圈,竞争圈-流失分析,loss_analysis,未采到-模块超时,"followStatus, isFollow",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,hot_spot_name,热点名称,辅助事实,热点日历,market_calendar,未采到-接口命中但无字段,hotSpotName,,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,hotel_collect,酒店收藏数,收益销售 / 流量转化 / 竞争圈 / 服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,"hotelCollect, favoriteCount, collectCount",4830,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,hotel_collect_rank,酒店收藏排名,竞争圈 / 服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,hotelCollectRank,20,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,hotel_label,酒店标签,竞争圈,竞争圈-概览,competitor_overview,未采到-模块超时,"label, labelName, tagName, hotelLabel, labelValue",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,im_score,IM评分,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,imScore,0,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,loss_order_amount,流失订单金额,竞争圈,竞争圈-流失分析,loss_analysis,未采到-模块超时,"lossOrderAmount, amount",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,loss_room_nights,流失间夜量,竞争圈,竞争圈-流失分析,loss_analysis,未采到-模块超时,"lossRoomNight, lossNightCount, roomNights",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,notice_text,提示内容,收益销售 / 广告推广,经营报告-概要 / 金字塔广告,"business_overview, ads_pyramid",未采到-本轮未触发 / 已采到-需复核(门禁未过),"content, message, text, tips, tip, description, desc",success / success / success / success / success / success,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,occupancy_rate_rank,出租率排名,竞争圈,竞争圈-榜单,competitor_rank,未采到-模块超时,rentalRaterank,,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,order_conversion_rate,下单转化率,竞争圈,竞争圈-流失分析,loss_analysis,未采到-模块超时,"orderConversionRate, conversionRate",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,price_band,消费档位,收益销售 / 辅助事实,经营报告-概要 / 用户行为-用户画像,"business_overview, user_profile",未采到-本轮未触发,"price, priceInfo, priceBand",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,psi_score,PSI服务质量分,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,"psi, PSI, psiScore, qualityscore, serviceScore, totalScore",4.97 / 3.17 / 3.17 / 4.99 / 5.11 / 5.12,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,rank_metric,榜单指标,竞争圈,竞争圈-榜单,competitor_rank,未采到-模块超时,"rankType, metric, rankName",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,reply_rank,回复排名,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,"imScoreHtlrank, replyrate5mRank",15,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,reply_rate,5分钟回复率,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,"replyrate5m, replyRate, fiveMinuteReplyRate",93.02,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,reward_score,奖励分,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 未采到-模块超时 / 已采到-门禁通过,"rewardScore, bonusScore",0.4 / 0.4 / 0.4 / 0.4 / 0.4 / 0.4,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,sale_status,售卖状态,房型/房态,经营报告-房型,room_type,未采到-本轮未触发,"saleStatus, status",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,service_score,服务质量分,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,serviceScore,4.97,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,service_score_rank,服务质量排名,服务质量/IM,首页实时概览 / 经营报告-概要 / 经营报告-流量数据 / 竞争圈-概览 / PSI服务质量,"homepage, business_overview, traffic_report, competitor_overview, quality_psi",未采到-本轮未触发 / 已采到-门禁通过 / 未采到-模块超时,serviceScoreRank,20,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,start_date,开始日期,收益销售,热点日历,market_calendar,未采到-接口命中但无字段,startDate,,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,stay_days,入住天数,用户行为,经营报告-概要 / 用户行为-用户画像,"business_overview, user_profile",未采到-本轮未触发 / 已采到-门禁通过,"stayDays, stayLength, staydays",1天 / 1天 / 1天 / 1天 / 1天 / 1天,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,strategy,提升策略,收益销售 / 辅助事实,经营报告-概要 / 用户行为-用户画像,"business_overview, user_profile",未采到-本轮未触发,"strategy, suggestion, imageList",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,suggest_action,建议操作,房型/房态,经营报告-房型,room_type,未采到-本轮未触发,"suggestAction, action",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,traffic_rank,流量排名,竞争圈,竞争圈-榜单,competitor_rank,未采到-模块超时,"trafficRank, appDetailUvRank",,先建缺口记录，拿到页面后再转事实
要,待网站协助/先入缺口表,ota_ctrip_capture_gaps,user_age,年龄段,用户行为,经营报告-概要 / 用户行为-用户画像,"business_overview, user_profile",未采到-本轮未触发 / 已采到-门禁通过,"age, ageRange, userAge",35-44 / 25-34 / 35-44 / 25-34 / 35-44 / 25-34,先建缺口记录，拿到页面后再转事实
