"id","module","action","path","http_status","events","accounts","first_at","last_at","diagnosis_status","cause","next_step","local_status","local_action","local_evidence","evidence_ceiling","production_status","remaining"
"CF-01","security","rate_limited","api/online-data/auto-fetch-status","429","48617","4","2026-08-14 22:53:50","2026-09-04 21:40:29","已复现","2秒状态轮询与60次/小时额度冲突；429后沿用旧运行状态继续轮询","修轮询退避、停止条件和状态读取限额","本地修复已验证；待线上复验","状态独立读取额度；按Retry-After等待、网络退避、会话/门店隔离；保留其他AI额度并共享冷却","AuthMiddlewareAuditTest; FixedWindowRateLimiterTest; auto_fetch_progress_recovery; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","发布后复验普通账号真实任务的状态读取与结果"
"CF-02","security","protected_access_denied","api/ota-standard/revenue-metrics","403","476","9","2026-07-28 10:47:48","2026-09-05 20:43:34","已复现","角色权限与模块开通未对齐；默认模块策略拒绝普通账号","按客户应有范围对齐模块开通和入口","入口对齐已验证；真实开通范围待确认","登录清单、菜单与请求对齐模块策略；未开通给出说明，后台权限保留","ProtectedCapabilityServiceTest; AuthLoginTenantIsolationTest; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","核对客户购买/承诺模块，授权后修改真实开通并用该账号验收"
"CF-03","security","protected_access_denied","api/agent/ota-diagnosis","403","472","9","2026-07-28 10:47:48","2026-09-05 20:43:35","已复现","角色权限与模块开通未对齐；默认模块策略拒绝普通账号","按客户应有范围对齐模块开通和入口","入口对齐已验证；真实开通范围待确认","登录清单、菜单与请求对齐模块策略；未开通给出说明，后台权限保留","ProtectedCapabilityServiceTest; AuthLoginTenantIsolationTest; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","核对客户购买/承诺模块，授权后修改真实开通并用该账号验收"
"CF-04","security","protected_access_denied","api/operation/execution-flow","403","372","11","2026-07-28 10:47:49","2026-09-05 20:43:37","已复现","角色权限与模块开通未对齐；默认模块策略拒绝普通账号","按客户应有范围对齐模块开通和入口","入口对齐已验证；真实开通范围待确认","登录清单、菜单与请求对齐模块策略；未开通给出说明，后台权限保留","ProtectedCapabilityServiceTest; AuthLoginTenantIsolationTest; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","核对客户购买/承诺模块，授权后修改真实开通并用该账号验收"
"CF-05","security","protected_access_denied","api/operation/action-tracking","403","230","9","2026-07-28 10:47:49","2026-09-05 20:43:37","已复现","角色权限与模块开通未对齐；默认模块策略拒绝普通账号","按客户应有范围对齐模块开通和入口","入口对齐已验证；真实开通范围待确认","登录清单、菜单与请求对齐模块策略；未开通给出说明，后台权限保留","ProtectedCapabilityServiceTest; AuthLoginTenantIsolationTest; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","核对客户购买/承诺模块，授权后修改真实开通并用该账号验收"
"CF-06","security","protected_access_denied","api/operation/closure-overview","403","227","9","2026-07-28 10:47:49","2026-09-05 20:43:37","已复现","角色权限与模块开通未对齐；默认模块策略拒绝普通账号","按客户应有范围对齐模块开通和入口","入口对齐已验证；真实开通范围待确认","登录清单、菜单与请求对齐模块策略；未开通给出说明，后台权限保留","ProtectedCapabilityServiceTest; AuthLoginTenantIsolationTest; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","核对客户购买/承诺模块，授权后修改真实开通并用该账号验收"
"CF-07","security","protected_access_denied","api/operation/operating-memories","403","214","9","2026-08-14 18:19:09","2026-09-05 20:43:38","已复现","角色权限与模块开通未对齐；默认模块策略拒绝普通账号","按客户应有范围对齐模块开通和入口","入口对齐已验证；真实开通范围待确认","登录清单、菜单与请求对齐模块策略；未开通给出说明，后台权限保留","ProtectedCapabilityServiceTest; AuthLoginTenantIsolationTest; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","核对客户购买/承诺模块，授权后修改真实开通并用该账号验收"
"CF-08","security","protected_access_denied","api/operation/goal-intervention-overview","403","207","9","2026-08-14 18:19:09","2026-09-05 20:43:38","已复现","角色权限与模块开通未对齐；默认模块策略拒绝普通账号","按客户应有范围对齐模块开通和入口","入口对齐已验证；真实开通范围待确认","登录清单、菜单与请求对齐模块策略；未开通给出说明，后台权限保留","ProtectedCapabilityServiceTest; AuthLoginTenantIsolationTest; customer_failure_access; browser-verification","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","核对客户购买/承诺模块，授权后修改真实开通并用该账号验收"
"CF-09","online_data","save_form","api/online-data/fetch-meituan","400","180","1","2026-08-15 13:22:29","2026-09-02 16:54:46","部分原因已关联","180中36与同请求授权异常告警对应；144缺具体上游原因；现存资源ID齐全","补上游状态、阶段、业务错误码后精确复验","失败证据补齐；历史逐笔根因未闭环","上游状态/业务码/阶段与请求编号允许列表审计，不记录原始响应","ManualFetchFailureReceiptTest实际执行方法到接口/审计提取; OtaFailureNotificationServiceTest真实审计回读","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","36条关联授权告警、144条历史原因缺失；需要授权的真实采集及精确回读"
"CF-10","online_data","cookie_expired","[dynamic_or_unrecorded_path]","unrecorded","171","5","2026-08-14 22:41:09","2026-09-07 17:07:53","告警类别及误分类机制已确认","135携程、36美团；302/HTML/权限错误可能被过度归为登录过期","记录具体上游状态与分类，不能把告警当采集成功","本地修复已验证；待线上复验","跳转、网页、403与限流独立归类；明确登录失败仍正确提示","FailureEvidenceServiceTest; OtaUpstreamFailureService","本地自动化；无真实账号或平台采集证据","代码交付不代表生产发布；现场待验收","现场核验真实平台状态；171条告警不等于171条已证实误报"
