序号,状态,优先级,模块,section,endpoint_id,metric_key,字段名,缺口类型,expected_source_keys,你提供的页面URL/截图/操作备注,证据备注,证据文件,gap_id
1,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,bad_review_tag,????,???-?????,"dingPingEntityList, tag",https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,﻿1
2,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,base_score,???,???-?????,"baseScore, basicScore",https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,2
3,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,competitor_average,??????,???-?????,"competitorsAverageOrderQuantity, competitorsAverageOccupiedRooms, competitorAvgNumber, competitorTensityScore",https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,3
4,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,competitor_avg_visitor,???????,???-?????,competitorAvgNumber,https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,4
5,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,conversion_rate,??/?????,???-?????,"orderConversionRate, closeRate, conversionRate, convertionRate, cvr",https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,5
6,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,ctrip_rating,????,???-?????,ctripRatingall,https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,6
7,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,deduct_score,???,???-?????,"deductScore, penaltyScore",https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,7
8,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,detail_visitor,??????,???-?????,"detailExposure, detailUv, detailVisitors",https://ebooking.ctrip.com/home/mainland?microJump=true,?????????????URL??????????(3)????????26???????258???????24???????6???????6??????9.30%??????25.00%??????100.00%?PSI?????4.97??????4.83?5?????93.02%??????4830??????????XHR?????????? URL?https://ebooking.ctrip.com/home/mainland?microJump=true,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,8
9,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,flow_rate,?????,???-?????,"conversionsRatesDataList, flowRate, transforRate, transferRate, convertRate",https://ebooking.ctrip.com/home/mainland?microJump=true,?????????????URL??????????(3)????????26???????258???????24???????6???????6??????9.30%??????25.00%??????100.00%?PSI?????4.97??????4.83?5?????93.02%??????4830??????????XHR?????????? URL?https://ebooking.ctrip.com/home/mainland?microJump=true,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,9
10,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,hotel_collect,?????,???-?????,"hotelCollect, favoriteCount, collectCount",https://ebooking.ctrip.com/home/mainland?microJump=true,?????????????URL??????????(3)????????26???????258???????24???????6???????6??????9.30%??????25.00%??????100.00%?PSI?????4.97??????4.83?5?????93.02%??????4830??????????XHR?????????? URL?https://ebooking.ctrip.com/home/mainland?microJump=true,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,10
11,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,hotel_collect_rank,??????,???-?????,hotelCollectRank,https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,11
12,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,im_score,IM??,???-?????,imScore,https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,12
13,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,keyword,?????,???-?????,"keyword, searchKeyword, filterWords",https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,13
14,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,list_exposure,??????,???-?????,"listExposure, exposure, exposureCount, impressions",https://ebooking.ctrip.com/home/mainland?microJump=true,?????????????URL??????????(3)????????26???????258???????24???????6???????6??????9.30%??????25.00%??????100.00%?PSI?????4.97??????4.83?5?????93.02%??????4830??????????XHR?????????? URL?https://ebooking.ctrip.com/home/mainland?microJump=true,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,14
15,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,occupancy_rate,???,???-?????,"rentalRate, occupancyRate",https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,15
16,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,order_page_visitor,??????,???-?????,"orderFillingNum, orderVisitors, fillUsers",https://ebooking.ctrip.com/home/mainland?microJump=true,?????????????URL??????????(3)????????26???????258???????24???????6???????6??????9.30%??????25.00%??????100.00%?PSI?????4.97??????4.83?5?????93.02%??????4830??????????XHR?????????? URL?https://ebooking.ctrip.com/home/mainland?microJump=true,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,16
17,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,order_submit_user,??????,???-?????,"orderSubmitNum, submitUsers, submitNum",https://ebooking.ctrip.com/home/mainland?microJump=true,?????????????URL??????????(3)????????26???????258???????24???????6???????6??????9.30%??????25.00%??????100.00%?PSI?????4.97??????4.83?5?????93.02%??????4830??????????XHR?????????? URL?https://ebooking.ctrip.com/home/mainland?microJump=true,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,17
18,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,page_views,?????,???-?????,"pvDataList, pageViewDataList, PV, pv, pageViews",https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,18
19,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,psi_score,PSI?????,???-?????,"psi, PSI, psiScore, qualityscore, serviceScore, totalScore",https://ebooking.ctrip.com/home/mainland?microJump=true,?????????????URL??????????(3)????????26???????258???????24???????6???????6??????9.30%??????25.00%??????100.00%?PSI?????4.97??????4.83?5?????93.02%??????4830??????????XHR?????????? URL?https://ebooking.ctrip.com/home/mainland?microJump=true,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,19
20,user_site_provided,已提供页面,首页实时概览,homepage,homepage_realtime,qunar_competitor_avg_visitor,??????????,???-?????,qunarCompetitorAvgNumber,https://ebooking.ctrip.com/home/mainland?microJump=true,?????? URL????? eBooking ???????????????? homepage_realtime XHR ?????,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,20
