用户选择,建表决定,采集状态,建议,建议目标表,类别,模块,section,metric_key,字段名,口径,data_type,单位,facts数,样本值,命中端点,catalog端点,source_keys,source_paths样本,证据文件,备注
,,未采到-本轮未触发,暂不建表,,服务质量/IM,首页实时概览,homepage,bad_review_tag,差评标签,ota_channel,business,,0,,,homepage_realtime,"dingPingEntityList, tag",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,收益销售,首页实时概览,homepage,base_score,基础分,ota_channel,business,,0,,,homepage_realtime,"baseScore, basicScore",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,竞争圈,首页实时概览,homepage,competitor_average,竞争圈平均值,ota_channel,business,,0,,,homepage_realtime,"competitorsAverageOrderQuantity, competitorsAverageOccupiedRooms, competitorAvgNumber, competitorTensityScore",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,竞争圈,首页实时概览,homepage,competitor_avg_visitor,竞争圈平均访客,ota_channel,business,,0,,,homepage_realtime,competitorAvgNumber,,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,收益销售,首页实时概览,homepage,conversion_rate,成交/下单转化率,ota_channel,business,,0,,,homepage_realtime,"orderConversionRate, closeRate, conversionRate, convertionRate, cvr",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,广告推广,首页实时概览,homepage,ctrip_rating,携程评分,ota_channel,business,,0,,,homepage_realtime,ctripRatingall,,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,服务质量/IM,首页实时概览,homepage,deduct_score,减分项,ota_channel,business,,0,,,homepage_realtime,"deductScore, penaltyScore",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,流量转化,首页实时概览,homepage,detail_visitor,详情页访客量,ota_channel,business,,0,,,homepage_realtime,"detailExposure, detailUv, detailVisitors",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,流量转化,首页实时概览,homepage,flow_rate,流量转化率,ota_channel,business,,0,,,homepage_realtime,"conversionsRatesDataList, flowRate, transforRate, transferRate, convertRate",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,收益销售,首页实时概览,homepage,hotel_collect,酒店收藏数,ota_channel,business,,0,,,homepage_realtime,"hotelCollect, favoriteCount, collectCount",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,竞争圈,首页实时概览,homepage,hotel_collect_rank,酒店收藏排名,ota_channel,business,,0,,,homepage_realtime,hotelCollectRank,,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,服务质量/IM,首页实时概览,homepage,im_score,IM评分,ota_channel,business,,0,,,homepage_realtime,imScore,,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,流量转化,首页实时概览,homepage,keyword,搜索关键词,ota_channel,business,,0,,,homepage_realtime,"keyword, searchKeyword, filterWords",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,流量转化,首页实时概览,homepage,list_exposure,列表页曝光量,ota_channel,business,,0,,,homepage_realtime,"listExposure, exposure, exposureCount, impressions",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,收益销售,首页实时概览,homepage,occupancy_rate,出租率,ota_channel,business,,0,,,homepage_realtime,"rentalRate, occupancyRate",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
,,未采到-本轮未触发,暂不建表,,流量转化,首页实时概览,homepage,order_page_visitor,订单页访客量,ota_channel,business,,0,,,homepage_realtime,"orderFillingNum, orderVisitors, fillUsers",,ctrip_section_trial_tiancheng_58_homepage_20260602125223.json,本轮未形成可用标准字段，不能用兜底值代替
